msme_id,business_name,sector,employees,years_in_business,ntc_flag,gst_filing_delay_days,gst_compliance_pct,upi_txn_consistency,upi_monthly_volume,inflow_outflow_ratio,bank_balance_avg,bounce_count_6m,epfo_regularity_pct,loan_emi_outflow_ratio,pillar_gst_score,pillar_upi_score,pillar_banking_score,pillar_epfo_score,pillar_stability_score,financial_health_score,risk_band,archetype
MSME00001,Gokhale-Sani,Auto Services,3,5.9,0,1.7,95.7,0.827,463343.0,1.42,147444.0,1,97.5,0.156,96.2,87.9,72.6,97.5,43.0,82.0,Healthy,healthy
MSME00002,Bhavsar LLC,Food & Beverage,10,9.8,0,21.2,61.0,0.455,49456.0,0.75,18890.0,9,44.6,0.437,61.3,36.8,0.0,44.6,46.3,36.8,High-Risk,high_risk
MSME00003,"Gupta, Kala and Thaman",Auto Services,5,9.2,0,3.6,80.2,0.594,168350.0,0.99,30206.0,3,84.2,0.477,85.5,58.4,15.0,84.2,43.3,55.5,Moderate,moderate
MSME00004,Chowdhury-Sura,Manufacturing,29,10.6,0,7.0,72.2,0.716,219676.0,0.91,115102.0,1,82.0,0.337,78.3,72.1,51.6,82.0,51.7,61.8,Moderate,moderate
MSME00005,Dara-Dixit,Retail Trade,4,14.7,1,4.2,98.8,0.933,465265.0,1.21,192634.0,0,97.5,0.103,96.3,95.3,84.2,97.5,71.0,93.3,Healthy,healthy
MSME00006,Prabhu Group,Textiles,8,5.4,0,3.4,100.0,0.912,761289.0,1.15,284158.0,0,94.8,0.128,97.6,93.8,82.9,94.8,42.3,85.4,Healthy,healthy
MSME00007,Bedi-Chaudhry,Construction Materials,4,0.8,1,1.8,92.1,0.972,376545.0,1.71,169464.0,0,91.0,0.113,93.9,98.0,90.8,91.0,29.0,86.1,Healthy,healthy
MSME00008,Savant-Chauhan,Construction Materials,14,11.3,0,21.1,39.7,0.304,96223.0,1.01,38207.0,7,41.1,0.727,48.6,30.9,0.0,41.1,42.1,34.4,High-Risk,high_risk
MSME00009,Verma-Anne,Construction Materials,11,9.2,0,6.1,79.4,0.534,156667.0,1.03,43184.0,2,73.9,0.265,83.2,53.0,25.1,73.9,49.6,57.2,Moderate,moderate
MSME00010,"Tata, Dalal and Ganesh",Retail Trade,8,10.0,0,8.7,75.2,0.748,215777.0,1.11,72305.0,2,64.7,0.372,78.9,73.9,36.2,64.7,48.8,57.7,Moderate,moderate
MSME00011,Dutta-Panchal,Retail Trade,3,9.3,0,0.0,100.0,0.911,379843.0,1.52,190434.0,0,98.4,0.164,100.0,93.7,90.4,98.4,53.0,89.7,Healthy,healthy
MSME00012,Chaudry Group,Manufacturing,11,7.9,1,21.4,53.4,0.534,78321.0,1.01,1000.0,2,92.1,0.683,56.7,45.2,10.6,92.1,33.2,42.1,High-Risk,high_risk
MSME00013,Sachdev Ltd,Manufacturing,3,11.1,1,26.0,60.1,0.334,82419.0,0.88,20205.0,9,50.5,0.591,57.3,31.6,0.0,50.5,45.6,31.0,High-Risk,high_risk
MSME00014,Magar-Mody,Construction Materials,6,11.8,0,2.7,97.7,0.921,197282.0,1.11,242815.0,0,96.3,0.165,96.7,84.2,82.2,96.3,60.4,90.4,Healthy,healthy
MSME00015,"Chowdhury, Gandhi and Chaudhuri",Food & Beverage,1,5.3,0,0.2,99.5,1.0,581225.0,0.93,243814.0,0,100.0,0.182,99.6,100.0,78.5,100.0,40.4,87.9,Healthy,healthy
MSME00016,Morar and Sons,Agri-processing,14,6.0,0,5.1,88.5,1.0,241564.0,1.0,241354.0,0,100.0,0.214,89.5,94.2,80.1,100.0,41.6,86.8,Healthy,healthy
MSME00017,"Pall, Wadhwa and Karnik",Manufacturing,7,6.7,0,5.6,92.4,0.992,435467.0,1.04,151991.0,0,92.3,0.282,91.4,99.4,71.4,92.3,41.6,84.4,Healthy,healthy
MSME00018,"Setty, Chacko and Manda",Auto Services,7,9.3,0,14.6,74.4,0.593,207916.0,1.03,40924.0,2,79.4,0.193,74.1,62.3,24.3,79.4,52.1,58.6,Moderate,moderate
MSME00019,"Swamy, Tella and Dhawan",Textiles,3,5.9,0,8.4,79.5,0.9,339274.0,1.1,38218.0,3,78.8,0.251,81.6,93.0,19.8,78.8,40.2,61.3,Moderate,moderate
MSME00020,"Pandey, Atwal and Bhalla",Agri-processing,5,1.9,1,4.5,93.5,1.0,271860.0,1.3,218027.0,0,95.7,0.241,92.9,97.2,85.9,95.7,28.5,91.1,Healthy,healthy
MSME00021,"Gandhi, Chaudhuri and Bhagat",Agri-processing,1,1.3,1,12.0,75.4,0.665,370505.0,1.16,13954.0,1,59.2,0.403,76.6,76.5,22.9,59.2,21.8,53.5,Moderate,moderate
MSME00022,Patla-Kala,Textiles,10,1.7,1,5.3,94.3,0.839,352608.0,1.07,182045.0,0,90.9,0.149,92.8,88.7,81.3,90.9,30.6,84.5,Healthy,healthy
MSME00023,"Vasa, Aggarwal and Kalita",Auto Services,10,3.8,0,0.0,91.5,0.82,448158.0,1.27,232107.0,0,86.8,0.186,94.9,87.4,85.3,86.8,35.8,84.7,Healthy,healthy
MSME00024,"Venkataraman, Munshi and Gola",Construction Materials,7,7.0,0,0.0,99.9,0.827,369914.0,1.04,184380.0,1,97.1,0.143,100.0,87.9,75.8,97.1,46.7,85.8,Healthy,healthy
MSME00025,Savant Inc,Construction Materials,8,2.8,1,13.0,73.9,0.626,81719.0,0.91,71801.0,2,62.1,0.349,75.0,52.0,32.1,62.1,27.9,56.1,Moderate,moderate
MSME00026,Prasad PLC,Textiles,4,2.2,1,25.7,47.6,0.62,113422.0,0.94,11915.0,5,44.5,0.523,50.1,54.7,0.0,44.5,20.9,35.6,High-Risk,high_risk
MSME00027,Srinivasan LLC,IT/Services,12,13.5,0,0.0,96.9,0.893,526542.0,1.4,176369.0,0,89.8,0.175,98.1,92.5,86.8,89.8,65.3,89.1,Healthy,healthy
MSME00028,Sani-Bajwa,Textiles,6,7.8,0,10.9,79.7,0.657,268610.0,0.9,41004.0,0,78.3,0.303,79.9,72.8,31.6,78.3,44.3,66.7,Moderate,moderate
MSME00029,Solanki PLC,Manufacturing,19,4.8,0,8.6,73.7,0.788,269368.0,0.94,115635.0,1,85.8,0.273,78.1,82.1,52.3,85.8,36.2,68.1,Moderate,moderate
MSME00030,Varkey and Sons,Textiles,1,13.4,0,3.9,94.5,0.83,631171.0,1.2,232719.0,0,97.0,0.151,93.9,88.1,84.1,97.0,65.7,79.9,Healthy,healthy
MSME00031,Devan-Roy,IT/Services,8,3.3,0,14.5,83.6,0.68,112500.0,1.11,28362.0,2,68.9,0.289,79.7,58.9,21.7,68.9,31.2,55.2,Moderate,moderate
MSME00032,Ramaswamy-Bala,Manufacturing,1,7.2,0,1.1,94.0,0.962,359158.0,1.52,220676.0,0,92.0,0.176,95.6,97.4,90.5,92.0,46.3,92.1,Healthy,healthy
MSME00033,Rajagopal and Sons,Food & Beverage,1,3.8,0,1.8,99.0,0.892,359349.0,1.24,245584.0,0,96.3,0.181,98.1,92.5,84.8,96.3,36.0,85.3,Healthy,healthy
MSME00034,"Sandal, Cheema and Varughese",Agri-processing,1,11.7,0,14.2,47.5,0.428,99127.0,0.74,8619.0,1,61.2,0.623,58.2,39.8,12.7,61.2,46.4,45.5,Moderate,high_risk
MSME00035,Mohan Group,Manufacturing,3,14.4,0,15.0,48.9,0.562,81347.0,0.69,17559.0,4,32.8,0.578,58.6,47.5,0.0,32.8,55.9,34.3,High-Risk,high_risk
MSME00036,Tandon Ltd,Retail Trade,2,9.4,0,6.3,47.2,0.44,95524.0,0.83,1913.0,11,61.7,0.589,63.8,40.4,0.0,61.7,40.5,39.4,High-Risk,high_risk
MSME00037,"Minhas, Gole and Balan",IT/Services,20,10.4,1,2.6,96.0,0.932,386370.0,1.11,268688.0,0,92.0,0.137,95.7,95.3,82.2,92.0,57.1,88.5,Healthy,healthy
MSME00038,Rout Group,Construction Materials,11,11.5,1,2.8,95.2,0.899,574268.0,1.11,257279.0,0,92.3,0.263,95.2,92.9,82.2,92.3,56.6,88.3,Healthy,healthy
MSME00039,"Bhagat, Garg and Dube",Construction Materials,18,8.3,0,12.8,79.4,0.739,294429.0,1.15,103791.0,2,81.3,0.297,78.4,81.2,47.5,81.3,46.0,65.7,Moderate,moderate
MSME00040,Lad-Chandran,Textiles,10,6.2,0,10.4,68.8,0.821,170333.0,1.36,53073.0,2,76.5,0.45,73.9,74.5,34.8,76.5,35.1,63.6,Moderate,moderate
